,Symbol,gmtOffSetMilliseconds
0,BSESN,19800000
1,NSEI,19800000
2,AORD,36000000
3,AXJO,36000000
4,BFX,7200000
5,BVSP,-10800000
6,DJI,-14400000
7,FCHI,7200000
8,FTSE,3600000
9,GDAXI,7200000
10,GSPC,-14400000
11,GSPTSE,-14400000
12,HSI,28800000
13,IPSA,-10800000
14,IXIC,-14400000
15,JKSE,25200000
16,KLSE,28800000
17,KS11,32400000
18,MERV,-10800000
19,MXX,-18000000
20,N100,7200000
21,N225,32400000
22,NZ50,43200000
23,RUT,-14400000
24,STI,28800000
25,TA125.TA,10800000
26,TWII,28800000
27,VIX,-14400000
28,XAX,-14400000
